headliners,uri,popularity,followers
Martin Garrix,spotify:artist:60d24wfXkVzDSfLS6hyCjZ,76,15592407
Armin van Buuren,spotify:artist:0SfsnGyD8FpIN4U4WCkBZ5,73,4156604
Dimitri Vegas & Like Mike,spotify:artist:73jBynjsVtofjRpdpRAJGk,70,3241791
Marshmello,spotify:artist:64KEffDW9EtZ1y2vBYgq8T,82,33946550
Amelie Lens,spotify:artist:5Ho1vKl1Uz8bJlk4vbmvmf,47,445623
Adam Beyer,spotify:artist:1btv9qmIpbp7q1ixCYNdHu,48,273486
Eric Prydz,spotify:artist:5sm0jQ1mq0dusiLtDJ2b4R,61,505582
NERVO,spotify:artist:4j5KBTO4tk7up54ZirNGvK,57,735458
Billie Eilish,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH,87,65989651
Paul McCartney,spotify:artist:4STHEaNw4mPZ2tzheohgXB,68,4071784
Kendrick Lamar,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,89,20995897
Diana Ross,spotify:artist:3MdG05syQeRYPPcClLaUGl,67,1480846
Burna Boy,spotify:artist:3wcj11K77LjEY1PkEazffa,79,2677577
Herbie Hancock,spotify:artist:2ZvrvbQNrHKwjT7qfGFFUW,55,579757
Pet Shop Boys,spotify:artist:2ycnb8Er79LoH2AsR5ldjh,66,1426055
Lorde,spotify:artist:163tK9Wjr9P9DmM0AVK7lm,75,9737091
Metallica,spotify:artist:2ye2Wgw4gimLv2eAKyk1NB,82,21938934
The Killers,spotify:artist:0C0XlULifJtAgn6ZNCW2eu,76,6600136
Muse,spotify:artist:12Chz98pHFMPJEknJQMWvI,74,7080494
Kings of Leon,spotify:artist:2qk9voo8llSGYcZ6xrBzKx,73,5042671
twenty one pilots,spotify:artist:3YQKmKGau1PzlVlkL1iodx,79,22735523
Imagine Dragons,spotify:artist:53XhwfbYqKCa1cC15pYq2q,87,41318405
Faith No More,spotify:artist:6GbCJZrI318Ybm8mY36Of5,61,1536333
Pixies,spotify:artist:6zvul52xwTWzilBZl6BUbT,68,2238802
Placebo,spotify:artist:6RZUqkomCmb8zCRqc9eznB,66,1681289
David Guetta,spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai,86,24523201
Brennan Heart,spotify:artist:5QySqc6yAFDx9m7fedFZmC,64,276087
Timmy Trunpet,spotify:artist:0CbeG1224FS58EUx4tPevZ,71,912784
Tiësto,spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z,82,6463099
Afrojack,spotify:artist:4D75GcNG95ebPtNvoNVXhz,72,3876772
Nicky Romero,spotify:artist:5ChF3i92IPZHduM7jN3dpg,63,2186293
Topic,spotify:artist:0u6GtibW46tFX7koQ6uNJZ,74,179366
Wizkid,spotify:artist:3tVQdUvClmAT7URs9V3rsp,76,2343459
Megan Thee Stallion,spotify:artist:181bsRPaVXVlUKXrxwZfHK,80,6832658
Chris Brown,spotify:artist:7bXgB6jMjp9ATFy66eO08Z,86,16329439
Davido,spotify:artist:0Y3agQaa6g2r0YmHPOO9rh,68,1642299
Beenie Man,spotify:artist:4L3GTE04bW5N7azA9QPhjA,59,411236
Koffee,spotify:artist:1gWjcmBsveEYMxOZ0VRi32,61,581969
Tems,spotify:artist:687cZJR45JO7jhk1LHIbgq,76,620131
Popcaan,spotify:artist:62DmErcU7dqZbJaDqwsqzR,66,765334
Gorillaz,spotify:artist:3AA28KZvwAUcZuOKwyblJQ,78,8987491
Tame Impala,spotify:artist:5INjqkS1o8h1imAzPqGZBb,78,5813642
Kraftwerk,spotify:artist:0dmPX6ovclgOy8WWJaFEUU,52,645331
Chemical Brothers,spotify:artist:1GhPHrq36VKCY3ucVaZCfo,60,1884677
Nick Cave & The Bad Seeds,spotify:artist:4UXJsSlnKd7ltsrHebV79Q,62,1191483
Disclosure,spotify:artist:6nS5roXSAGhTGr34W6n7Et,73,2047072
The National,spotify:artist:2cCUtGK9sDU2EoElnk0GNB,63,1399585
A$AP Rocky,spotify:artist:13ubrt8QOOCPljQ2FL1Kca,80,11444974
Future,spotify:artist:1RyvyyTE3xzB2ZywiAwp0i,87,11862509
