danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,headliners,artist_uri,duration_min
0.584,0.54,1,-7.786,0,0.0576,0.0895,0.0,0.261,0.195,137.972,audio_features,3ebXMykcMXOcLeJ9xZ17XH,spotify:track:3ebXMykcMXOcLeJ9xZ17XH,https://api.spotify.com/v1/tracks/3ebXMykcMXOcLeJ9xZ17XH,https://api.spotify.com/v1/audio-analysis/3ebXMykcMXOcLeJ9xZ17XH,220883,4,Martin Garrix,spotify:artist:60d24wfXkVzDSfLS6hyCjZ,3.6813833333333332
0.501,0.519,4,-5.88,0,0.0409,0.109,0.0,0.454,0.168,133.99,audio_features,23L5CiUhw2jV1OIMwthR3S,spotify:track:23L5CiUhw2jV1OIMwthR3S,https://api.spotify.com/v1/tracks/23L5CiUhw2jV1OIMwthR3S,https://api.spotify.com/v1/audio-analysis/23L5CiUhw2jV1OIMwthR3S,195707,4,Martin Garrix,spotify:artist:60d24wfXkVzDSfLS6hyCjZ,3.2617833333333333
0.661,0.723,5,-6.976,0,0.0566,0.179,1.23e-05,0.14,0.316,113.778,audio_features,7Feaw9WAEREY0DUOSXJLOM,spotify:track:7Feaw9WAEREY0DUOSXJLOM,https://api.spotify.com/v1/tracks/7Feaw9WAEREY0DUOSXJLOM,https://api.spotify.com/v1/audio-analysis/7Feaw9WAEREY0DUOSXJLOM,163805,4,Martin Garrix,spotify:artist:60d24wfXkVzDSfLS6hyCjZ,2.7300833333333334
0.414,0.486,6,-6.431,0,0.0311,0.0129,0.0,0.111,0.368,128.038,audio_features,4ut5G4rgB1ClpMTMfjoIuy,spotify:track:4ut5G4rgB1ClpMTMfjoIuy,https://api.spotify.com/v1/tracks/4ut5G4rgB1ClpMTMfjoIuy,https://api.spotify.com/v1/audio-analysis/4ut5G4rgB1ClpMTMfjoIuy,230762,4,Martin Garrix,spotify:artist:60d24wfXkVzDSfLS6hyCjZ,3.846033333333333
0.859,0.558,7,-8.991,0,0.0902,0.659,0.324,0.124,0.357,114.978,audio_features,4ga4WvRNhMsIL38pkBbnIN,spotify:track:4ga4WvRNhMsIL38pkBbnIN,https://api.spotify.com/v1/tracks/4ga4WvRNhMsIL38pkBbnIN,https://api.spotify.com/v1/audio-analysis/4ga4WvRNhMsIL38pkBbnIN,144391,4,Martin Garrix,spotify:artist:60d24wfXkVzDSfLS6hyCjZ,2.4065166666666666
0.573,0.739,9,-5.455,1,0.0581,0.212,0.0,0.175,0.363,120.077,audio_features,4RVtBlHFKj51Ipvpfv5ER4,spotify:track:4RVtBlHFKj51Ipvpfv5ER4,https://api.spotify.com/v1/tracks/4RVtBlHFKj51Ipvpfv5ER4,https://api.spotify.com/v1/audio-analysis/4RVtBlHFKj51Ipvpfv5ER4,174062,4,Martin Garrix,spotify:artist:60d24wfXkVzDSfLS6hyCjZ,2.9010333333333334
0.588,0.78,11,-6.102,0,0.0432,0.0333,0.193,0.0728,0.201,127.085,audio_features,4xFcQGVBVakReaL0OOJiP6,spotify:track:4xFcQGVBVakReaL0OOJiP6,https://api.spotify.com/v1/tracks/4xFcQGVBVakReaL0OOJiP6,https://api.spotify.com/v1/audio-analysis/4xFcQGVBVakReaL0OOJiP6,221220,4,Martin Garrix,spotify:artist:60d24wfXkVzDSfLS6hyCjZ,3.687
0.611,0.644,6,-7.607,0,0.0553,0.124,0.0,0.124,0.13,105.969,audio_features,6jA8HL9i4QGzsj6fjoxp8Y,spotify:track:6jA8HL9i4QGzsj6fjoxp8Y,https://api.spotify.com/v1/tracks/6jA8HL9i4QGzsj6fjoxp8Y,https://api.spotify.com/v1/audio-analysis/6jA8HL9i4QGzsj6fjoxp8Y,221904,4,Martin Garrix,spotify:artist:60d24wfXkVzDSfLS6hyCjZ,3.6984
0.506,0.693,0,-7.265,0,0.0412,0.584,9.58e-05,0.0891,0.221,139.912,audio_features,3nc420PXjTdBV5TN0gCFkS,spotify:track:3nc420PXjTdBV5TN0gCFkS,https://api.spotify.com/v1/tracks/3nc420PXjTdBV5TN0gCFkS,https://api.spotify.com/v1/audio-analysis/3nc420PXjTdBV5TN0gCFkS,216420,4,Martin Garrix,spotify:artist:60d24wfXkVzDSfLS6hyCjZ,3.607
0.66,0.733,0,-4.619,1,0.0359,0.248,8.96e-06,0.17,0.304,119.933,audio_features,2iL0W5qi0ivZ9WRXbZ74cS,spotify:track:2iL0W5qi0ivZ9WRXbZ74cS,https://api.spotify.com/v1/tracks/2iL0W5qi0ivZ9WRXbZ74cS,https://api.spotify.com/v1/audio-analysis/2iL0W5qi0ivZ9WRXbZ74cS,217000,4,Martin Garrix,spotify:artist:60d24wfXkVzDSfLS6hyCjZ,3.6166666666666667
